id,review_body
83,"~~ Commande reçue rapidement grâce à Amazon Prime ! ~~ L'enceinte semble de bonne qualité, appareillage facile, le son est correct à la vue de la taille, il y a également un port microSD pour y mettre des MP3, ça permet à l'enceinte d'être totalement indépendante, il y a des patins anti-dérapant, afin d’éviter les accidents. Je suis satisfait de cette achat, c’est pour offrir à une enfant de 10 ans, elle plaira à coup sur !"
84,"Odeur très désagréable, comme une odeur de solvant. Du coup ils sont inutilisables même si les couleurs sont jolies."
85,Ne retient pas les graviers de la caisse de mon chat qui continu a me les disperser partout
86,Commande marquée livrée mais rien dans la boite aux lettres. Aucun champs sur le site d'Amazon pour déposer une réclamation!
87,Pour une crème sensé enlever l'acné sa n'a fait qu'empirer ma peau en début de guérison. J'ai fait deux test sur ma peau qui allait mieux avec une pause entre les deux et le lendemain je me retrouve avec plein de comedons et de gros boutons douloureux. Je regrette bien d'en avoir commander 2 flacons !!!
88,Tres bon jeu de société à faire en famille. On y joue souvent mon fils de 4 ans arrive à joué malgré le 5+
89,"Au top, produit bien emballé, de tres bonne qualité. Facile à poser avec tout le matériel qui faut.livraison très rapide."
90,"Je voulais attendre de l'avoir utiliser correctement pour noté le produit, et après 4 mois je suis très satisfaite. Je l'aie utilisé sur les jambes et les aisselles, et peu de poils repoussent (environ 20%) ou très lentement et très clair. Je sais que ce n'est pas définitif, mais pour le moment j'ai arrêté de l'utiliser car le peu de poils qui repoussent ne sont plus un problème, et je préfère économiser le nombre de flash. Je reprendrai quand je verrai que mes poils repousseront plus nombreux. Je ne regrette pas l'achat. Seul la batterie est un peu faiblarde (1 jambe entière à la fois), et en plus on ne peut pas l'utiliser pendant qu'il est branché au secteur, il faut attendre qu'il soit rechargé (même partiellement) pour l'utiliser."
91,Très bien arrivés pas de soucis ni problème
92,correspond très bien a la description très bonne qualitée je recommande ce vendeur qui est très réactif a refaire super
93,Le verre n'a pas la dimension exacte de l'écran du smartphone.
94,"Je suis déçue ce l'article, en effet après quelques jours d'utilisation déjà 3 cintres cassés. La qualité n'est pas au rdv"
95,conforme à la commande
96,Produit livré dans son carton d'origine lui même déposé dans un carton Amazon trop grand (avec 3 bouts de papier kraft pour faire (très mal) épaisseur) et par conséquent totalement détruit !!! Produit livré sans le cordon secteur pour l'alimenter: c'est mesquin !! Conclusion: je pourrais le tester quand j'aurai été acheter un cordon....
97,"Acheté le 17 juin 2017, elle ne tien désormais plus du tout la batterie. Déçu. Dirigé vous vers une Anker."
98,Ces intercalaires sont magnifique et vont très bien avec le bracelet de perles. Cela constitue un bel assortiment de couleur
99,pour le parfum difficile à mettre le produit d'autres parts fuites
100,La qualité est à la hauteur du prix... peu solide.
101,bonjour je vous est renvoyer le colis de l'oreillette bluetooth car je l'ai acheter en double
102,"Filtres de 25cm conformes à la description. S’adapte parfaitement dans tout les portes filtres standards. Utile pour retirer le goût/odeur de chlore de votre eau. Je suis satisfait du produit, a voir dans le temps."
103,"Le vert n'est pas solide. Je n'ai pas de force dans les poignées et à la suite d'une vingtaine de répétitions... Voyez la photo. L'élastique bleu fait son job, et le orange me semble assez solide."
104,"Produit de mauvaise qualité. J'ai acheté une première baguette : cassée après seulement 2jours. J'ai supposé que mon fils l'avait abîmé en jouant même si lui me disait qu'il n'avait rien fait de particulier. Je renouvelle la baguette parce que mon petit bonhomme était tout triste que son cadeau d'anniversaire soit cassé et là, en ouvrant la boite on a compris : la baguette est fissurée et elle n'est même pas de la bonne couleur. Je ne l'ai même pas sorti de l'emballage ! Très grosse déception !"
105,"un des deux stylos est arrivé cassé. Il faut beaucoup frotter avec le chiffon pour que l'encre s'efface. Si on utilise une trop forte chaleur pour effacer l'encre, les pages gondoles et c'est vraiment gênant d’écrire sur ces pages ensuite. Je ne recommande pas ce produit. Il est a noter aussi, qu'en fin de compte, on peut très bien faire les manipulations d'effacements sur un cahier standard du moment que l'on possede les stylos qui s'effacent à la chaleur."
106,Verre très mignon et conforme à la photo. Bonne taille pour les enfants. Mais l’imprimé commence déjà à partir 🙁
107,"J'ai acheté deux appareils différents de cette marque et les deux ne fonctionnent pas. Malchance ou mauvais matériel, en tout cas je ne conseille pas."
108,"Acheter après plusieurs crevaisons dû à des morceaux de verre / bois, Cette chambre à tenue encore moins longtemps que les autres, et c'est cassé d'elle même avec une des jonction qui à laché et donc plus étanche.... Je déconseille fortement d'acheté ces chambres à air pas efficace du tout et d'opter pour des type mountain bike bien plus résistante."
109,"Zéro ! Verre tremper reçu cassé , j’ai mi en suite mon iPhone dans la coque les rebords de la coque se son casser, a chaque fois j’enlève La coque y’a des bou qui parte ! Je ne recommande pa"
110,Piscine reçue avec 2 trous ... inutilisable ...
111,"Je ne peux malheureusement le recommander à travers les désagréments vécus. Une compression nocturne qui a entraîné une vive douleur puis un hématome et ensuite un abcès, infection...des consultations en série chez le podologue pour soigner mon ongle. A ne pas acheter à la légère, prenez rendez vous chez un podologue et vous aurez l'avis d'un vrai spécialiste."
112,fermeture eclair de la petite poche pas terminee et doublure interieur dechiree
113,"Je ne l'ai jamais reçu... Dommage Noël est fini... Vraiment déçu, j'ai refait une commande qui devait être livrée le 6 mars nous somme les 12 toujours rien reçu.... Je me demande si je peux continuer à utiliser amazone..."
114,"pas terrible pour brûler les tétines, verrues..."
115,"Bien pour mettre des cartes/billet uniquement, ne comptez pas mettre de piece car il est pas possible de le fermer avec 2 pieces dedans et il deviens gonflé cest une cata pour sortir les cartes."
116,Ce produit était parfait pour moi. Je me suis battu avec des points noirs depuis le lycée. J'ai utilisé ce produit et j'ai eu tellement de peaux mortes et de points noirs sur mon visage. Ma peau était si lisse après l'avoir utilisée.
117,Dommage !!la couleur le tissu et la dimension ne correspondent pas du tout à l'annonce .ça ressemble à un petit bout de tissu pour faire de la couture.déception
118,Vraiment pratique les les enfants
119,Envoi rapide et bien emballé correspond parfaitement a ce que je cherchais pour ma guitare je recommande merci cordialement franck
120,"pour offrir a noél , mais dommage de ne pas avoir ceux que l'on appellent "" a dégustation , la contenance est plus petite et ils sont très beaux"
121,"Excellent protecteur de qualité. il semble très fort et dur. La sensibilité au toucher est très bonne et les empreintes digitales ne sont pas excessivement perceptibles. Grand jusqu'ici, révélation à appliquer, super facile tant que vous suivez les instructions et obtenez l'écran très propre. Arrivé en temps opportun et fait le travail! Très heureux avec ces protecteurs d'écran!"
122,"Voilà, articles reçu il y a un an. Fonctionnement parfait jusqu'a maintenant et paf, les 3 viennent de me lacher"
123,Très bien confortable pas de transpiration remarquée jusqu'à aujourd'hui produit est tout à fait agréable
124,"Je n’ai jamais reçu mon colis, j’attends depuis le mois dernier et UPS me dit que le colis n’est jamais parti..."
125,Seul achat qui me satisfait
126,Toutes les pages se décollent du centre comme si il s'agissait d'un vulgaire livre d'occasion !!!! Heureusement c'est un livre utile mais du coup je ne pourrais pas le prêter c'est quelque peu honteux
127,après un mois deux récepteurs ne fonctionnent plus
128,Pas de chargeur fournit
129,Grave déçu les fard matte son excrément bien parconte les paillette vraiment dure à prendre il faut raser pour les prendre ! Si j’avais l’occasion je mettrait 0
130,"-Bonne première prise en main, légère. Manque un peu de puissance. -Point positif : deux batteries sont fournies. -A voir dans la durée si elles tiennent longtemps -Point négatif : les sabots ne sont pas très résistants, et le sabot de 3 mm ne permet pas de réaliser un bon fondu et d'avoir une bonne transition entre le 3mm avec sabot et le 2 mm sans sabot. Je conseille pour les coupes basiques et ceux qui commencent à coiffer. Pour les plus expérimentés, ou ceux qui veulent de beaux dégradés, vous pouvez trouver mieux (type Babyliss, Wahl)"
131,c'est pas du luxe du coup je vais les utilisées en essuies mains dans la salle de bain sinon ne bouge pas au lavage ni au seche linge
132,"la valise est certainement très bien. Si seulement j'avais pu ouvrir le colis entièrement, l' odeur de plastique était tellement forte, une Horreur...."
133,"Franchement j’entends toujours le ronflement de mon mari et les musiques ne sont pas très variées. Et je pensais pouvoir les utiliser toute la nuit, mais pour ne pas entendre les ronflements il faut mettre assez fort et j’ai peur qu’au niveau du cerveau cela ne soit pas mieux que le ronflement."
134,"Produit parfait, mais la boite est arrivée en mauvais état (enveloppe à bulles). Pas top pour les collectionneurs qui aiment garder les boîtes..."
135,"J'ai l'habitude d'acheter ces cartouches, mais celles ci sont de très mauvaises qualité. Je ne les recommande pas."
136,"Reçu rapidement, j'adore, pratique assez grand, conforme aux photos, je trouve juste dommage que les séparations ne puissent pas s'enlever"
137,matériel très fragile casse tout de suite très déçue
138,"un coup de main à prendre pour bien fermer le bracelet, il peut se décrocher facilement, sinon belle montre stylée"
139,Voici les photos avec la rondelle cassée.
140,Les gants sont confortable. La fonction tactile fonctionne bien et s'agrippe assez bien sur le guidon du vélo. 2 points négatif: il glisse sur les parties en aluminium ou en métal. Quand on roule on a facilement froid au doigt
141,"Mon fils est ravi. Permet de charger les 2 joycons + une manette. Compact, pas encombrant et fun avec les lumières qui montrent l’état de charge"
142,Cher et boîte mal finie
143,"Pas du tout pratique, protection trop épaisse ne colle que très légèrement sur le contour, Du coup le tactile répond beaucoup moins bien, à éviter, je déconseille."
144,suspense thriller une bonne suite vivement le 3
145,"Très bonne conception,solide et efficace"
146,Ce katana n'est pas du tout conforme à la description. Il n'est absolument pas en bois mais en polystyrène. Fait illusion seulement. Je ne recommande pas
147,"Article en cours de retour car il ne marche pas du tout, nouvelle commande du même article... mes commentaires à réception !"
148,"Dommage,trop lourd. Mais les gants sont magnifiques; je ne m'en sers pas, vraiment trop trop lourd c'est bien dommage, à refaire tout en légèreté."
149,Fantastique!! Rien de mieux pour préparer des petits plats pour bébé.
150,il fait partie des épilateurs les plus douloureux que j'ai essayés .... l'épilation sous l'eau ? bof : les poils se collent .... donc peu efficace. en revanche : grande autonomie de charge !
151,"Les boîtes sont très pratiques pour mettre des dosettes de café ou des sachets de thé. On peut choisir de les poser verticalement ou horizontalement, ce qui est astucieux. J'en avais commandé 3 mais je viens d'en renvoyer une dont un coin était cassé ainsi que les séparations intérieures. L'emballage n'est pas en cause, c'est au niveau du conditionnement que la casse s'est réalisée. (Made in China...) Mais Amazon me rembourse et les frais de renvoi sont pris en charge, merci Amazon."
152,"Le produit est tout simplement excellent. Il faut savoir qu'il s'agit d'un produit générique donc vendu par d'autre vendeur, mais ne vous inquiétez pas pour le prix relativement bas, ceci n'est pas une arnaque. Le pack est très complet ,même plus complet qu'un autre protège ecran acheter pourtant plus cher. Bref ,bon produit ,très bon rapport qualité prix."
153,"très pratique lorsqu'on a des problèmes avec les yeux, je ne peux plus me passer de ces aiguilles, sans elles je serais perdue! Cet article est vraiment à recommander pour les personnes ayant des difficultés avec leurs yeux"
154,"article de bonne taille et de bonne couleur. Les coutures sont fragiles, une a craqué la deuxième jour de portage."
155,Article conforme et reçu dans les temps. Je recommande vivement ce jeu pour tous fans de ma saga. Parfait +++
156,"N'a jamais fonctionné correctement. Impossible de brancher 2 ports usb en même temps dès le debut et maintenant après 2 mois et quelques utilisations, plus rien n'est détecté par l'ordinateur !"
157,"Alors je suis vraiment mitigé. Pris pour Samsung Galaxy S9. Le tactile est bon, sur la largeur pas de problème, par contre quand on cale le haut du verre trempé sur le haut-parleur il manque 3mm en bas. À voir sur la durée."
158,Assez pâteux par rapport aux recharges que j'achète d'habitude (répercussion: utilisation de plus de bandes).
159,Surpris sans vraiment l’être compte tenu de la marque. Bon son et pratique pour le sport.
160,Se sont déchirée très vite gants trop fragile pour des chien a poil long
161,Contrairement à ce qui est annoncé je n'ai toujours pas reçu le colis. J'attends toujours avec déjà 24 heures de retard
162,"Pour l'instant je ne suis pas en état d'apprécier la durée de vie de la batterie ou sa solidité, mais à mon avis de primo utilisateur cet outil n'a quasiment pas de capacité de charge : après l'avoir reçu je l'ai mis en charge une nuit entière et m'en suis servi le lendemain : capacité de coupe convenable, mais la petite pile qui lui tient lieu de batterie se vide à l'utilisation en très peu de temps. Quasi inutilisable, sauf pour du très petit jardinage de terrasse. Sur environ 20 mètres linéaires de bordure de gazon, j'ai difficilement terminé le 'travail' avec une machine qui n'avait plus aucun jus : franchement, c'est un gadget pour terrasses et balcons..."
163,"Le design de l’appareil est moderne, livré avec differents accessoires et facile à installer. L’interface est vraiment agréable, intuitive et simple. Il y a la possibilité d’ajouter de nombreuses applications android de son choix sur l’écran d’accueil comme Netflix ou Amazon Prime Video par exemple. La tele se transforme alors en Smart Tv, l’appareil avec 2go de RAM est tres réactif, bon produit."
164,La déception. Acheté pour noel dernier en aout il ne fonctionnait déjà plus. Rapport qualité prix 👎 mauvais.
165,"Très mauvais objet, il est arrivé cassé à la maison et est impossible à recalibrer comme il faut De plus, mettre la toupie en lévitation requiert une habilité et un acharnement incomparable -et Les poids fournis pour aider sont une autre énigme- Quitte à avoir un objet l'évitant, autant investir un peu plus et avoir une l'évocation automatique et de qualité."
166,pour de simple affaire car bouge beaucoup
167,"La plaque chauffante électrique reste constamment allumé, même en position off, dommage car il chauffe normalement. Je suis déçu du produit"
168,commande bien reçue en temps et en heure. produit conforme à la description. à recommander livraison très rapide. aucun souci
169,J'ai reçu le brûle-encens ... Sans l'encens.
170,Je suis assez déçu car je n'arrive pas à scanner correctement les feuilles.
171,"Sacoche mise a la ceinture, pratique. Par contre peut etre un peu petit"
172,La pile bip en plein milieu de la nuit comme une alerte incendie la pile fournie se vide en 1 semaine d utilisation c'est dommage la deuxième également fournie à tenue 10 jours mais je ne recommande pas ce produit
173,"Super protection pour la montre Garmin. Cet article est composé de 4 protections en verre qui se collent parfaitement et épousent la forme de la montre. Comme je le montre en photo, cette protection est invisible, il faut avoir l'oeil pour constater qu'il y a cette protection en verre. Le tactile semble un petit peu moins réactif mais en appuyant légèrement plus fort sur cet écran tactile, on se promène dans les menus tranquillement. Je tiens à préciser que posseder cette protection de verre est indispensable si vous souhaitez garder votre montre plus longtemps. Cela fait 2 ans que j'ai cette montre, que je la porte chaque jour et j'ai déjà cassé 3 protections de verre. Si je n'avais pas eu cette protection, je pense que la montre aurait été soit cassée ou au minimum rayée."
174,Un livre profond et clair. Des enseignements et des exercices ...
175,"bigoudis un peu trop longs, mais super pratiques = oui je recommande! pour un premier usage de cheveux frisés, je suis contente mais la longueur gène un peu si les cheveux sont courts, car lourds!"
176,Facile à monter et très élégant ! Porte guitare solide
177,Anneaux de douche parfait
178,N’achetez plus pour occasion ! Je vien de recevoir mon boitier et aucun disque n’est a l’intérieur ARNAQUE !
179,Produit conforme à la l’intitulé et la description sur le site. La livraison a été ok donc rien à signaler.
180,"Le produit est bon et tient bien, seuls les pastilles métalliques ne tiennent pas, le produit humide était sec et malgré un nettoyage aucunes pastilles métalliques ne tiennent, le téléphone tombe. La pastille reste sur l'aimant qui lui est bien fixé sur le support spécial Kadjar ."
181,"très satisfaite après avoir réuni les lames de ce jeu et le livre, bonne qualité, facile à manipuler et à interpréter."
182,"Excellent ouvrage ! La poésie, les dessins et l’histoire Rocambolesque m’a beaucoup plu. Je ne connaissais pas l’auteur et c’est pour moi une joyeuse découverte."
183,"Pas solide du tout ce n est pas conçu pour jouer au flechette, je déconseille"
184,"Bon produit, mais très déçu de la livraison par UPS qui m'a simplement laissé un papier dans la boîte aux lettres m'indiquant que, comme j'étais absent au moment de la livraison, ils m'ont laissé chez un voisin de ma rue que je ne connais même pas sans me demander si cela me convenait..."
185,les suspensions rendent très bien le produit est conforme à notre attente et je le recommande sans problème. Parfait ne pas hésiter.
186,Super design noir laqué avec le verre trempé sur le dessus. Très simple d utilisation et très complet au niveau des données Les piles sont fournies on peu l utiliser de suite. On peut rentrer plusieurs profil au niveau de l application ce qui est sympa pour une famille complète Il y a un profil bébé aussi L appli est très simple a utiliser.
187,"Les brosses se dénudent après une vingtaine d'utilisation. La plus petite, déjà plus rien dessus, mais le pire cela reste ensuite dans l'aérographe ! ZERO pointé"
188,"Ma fille en est hâte et ravie de se sac , pressait pour montrer à ses copines ,c’était son choix.De bonne qualité surtout avec les emojis un peu partout et super couleur,Je recommande fortement pour l’ecole .."
189,Exactement ce dont j’avais besoin.
190,"Tous les distributeurs de savon liquide partout c'est pas pratique. Aussi j'ai acheté ces distributeurs de savon fixation murale pour alléger mes plans de travail et tablettes lavabo de trop d'objets. J adore, c'est fixé au mur carrelé par des collants double face et ça tient bien. C'est pro et propre comme j'aime. Même chez moi. Je conseille ..."
191,pas résistant dans le temps
192,"Arriver dans ma boite a lettre, les bouchons etait rouiller avec la peinture decoller. TRES DEÇU PAR CE PRODUIT"
193,La paroi vitrée s'est fissurée moins d'une heure après la mise en service. Est-il possible de l'échanger?
194,Je n'ai pas encore pu évaluer le produit
195,"Après seulement 2 utilisations, l'une des deux lampes ne fonctionne plus et pour cause, elle a pris l'eau. Pourtant pas utilisée sous la pluie mais sur route mouillée, les projections ont suffit a rentrer dans la lampe. Pour l'instant l'autre fonctionne encore très bien. Dommage, l'éclairage est parfait."
196,Le pull est conforme à la description mais au lieu de blanc nous l'avons reçu écru. Dommage.
197,Reconnus immédiatement !
198,Pas reçu peut rien dire même ci ces ces marquer livré
